iter	RMSE
0	3861.548172
1	3722.897997
2	3587.011749
3	3457.856588
4	3334.091032
5	3216.14012
6	3103.164878
7	2995.394075
8	2893.28385
9	2791.973676
10	2693.724961
11	2601.254122
12	2511.437113
13	2426.332243
14	2342.844997
15	2263.094921
16	2190.675413
17	2117.365946
18	2050.172137
19	1982.255934
20	1917.390271
21	1856.217167
22	1797.140515
23	1740.187705
24	1686.133101
25	1636.800103
26	1586.809672
27	1538.761527
28	1493.86357
29	1450.430844
30	1407.779936
31	1367.772074
32	1329.555972
33	1292.750184
34	1256.571096
35	1222.704784
36	1191.096604
37	1160.605563
38	1132.446006
39	1104.594142
40	1077.604856
41	1052.021295
42	1027.459763
43	1003.7484
44	981.7707185
45	960.1951486
46	939.3865822
47	919.9946324
48	901.7737118
49	883.294985
50	866.1123576
51	850.1812052
52	835.0494834
53	820.6593852
54	807.0201778
55	793.2170713
56	780.4423943
57	768.4655922
58	757.9470555
59	747.2085305
60	737.3110153
61	727.9080391
62	718.6483605
63	709.9985269
64	702.2152427
65	694.4205647
66	686.3979083
67	678.720567
68	672.181391
69	665.4633802
70	659.0499042
71	653.0056761
72	646.8743451
73	641.5144709
74	636.4903759
75	631.6755627
76	627.1125564
77	622.7416154
78	618.496435
79	614.4194885
80	610.7202399
81	607.4265705
82	604.4506967
83	601.0764101
84	597.8916864
85	594.9061814
86	591.977816
87	589.0811968
88	586.2015165
89	583.6654672
90	581.1501513
91	579.1282894
92	576.6223921
93	574.6827443
94	572.5848313
95	570.5791097
96	568.7844846
97	567.2446031
98	565.3405072
99	563.6362809
100	561.8733033
101	560.4772431
102	559.1481
103	557.8098232
104	556.5392699
105	555.2083276
106	553.7056044
107	552.395715
108	551.3120617
109	549.9809328
110	548.8057541
111	547.6604103
112	546.5782824
113	545.5748643
114	544.6088906
115	543.6036729
116	542.7982098
117	541.6798171
118	540.9386877
119	539.8687783
120	539.0440641
121	538.2022919
122	537.3719421
123	536.6910269
124	535.9752925
125	535.3088632
126	534.5607257
127	533.9836659
128	533.0946643
129	532.5210499
130	531.9349988
131	531.1272252
132	530.5310952
133	529.8863891
134	529.1830421
135	528.4573947
136	527.9228376
137	527.3092673
138	526.7994535
139	526.2053205
140	525.6519265
141	525.0521151
142	524.4089067
143	523.8225556
144	523.2998086
145	522.8560714
146	522.3819679
147	521.667121
148	521.0203229
149	520.6483561
150	520.2819648
151	519.6711595
152	519.1947821
153	518.4862887
154	518.0057341
155	517.5130348
156	516.8964897
157	516.3244924
158	515.9177272
159	515.6054863
160	515.2193947
161	514.9369488
162	514.5119135
163	513.9459403
164	513.4062906
165	513.0512637
166	512.5959064
167	512.0250432
168	511.5748926
169	511.2233907
170	510.6225133
171	510.4820143
172	510.0457274
173	509.5831698
174	509.2541771
175	508.7197377
176	507.9810638
177	507.8645026
178	507.6315845
179	507.2223816
180	506.6973837
181	506.594933
182	506.0286554
183	505.4622415
184	505.098834
185	504.7899512
186	504.4768691
187	504.2506715
188	503.8152161
189	503.4112113
190	503.228767
191	502.7055481
192	502.4944794
193	502.0253242
194	501.6837234
195	501.2036144
196	500.8896426
197	500.7204631
198	500.4599152
199	500.1766094
200	499.7511282
201	499.3856975
202	499.0379718
203	498.6843239
204	498.5004488
205	498.1903772
206	497.8240389
207	497.408528
208	497.2974351
209	497.2885778
210	496.9694175
211	496.7487905
212	496.4933627
213	496.2371702
214	496.0177106
215	495.5498641
216	495.3402759
217	495.213459
218	494.8360281
219	494.4824082
220	494.1877193
221	493.9291523
222	493.7166481
223	493.4377688
224	492.9392491
225	492.6240068
226	492.1850241
227	491.9777142
228	491.4834337
229	491.122309
230	490.9226376
231	490.444808
232	490.2614207
233	489.9702049
234	489.6494697
235	489.2260983
236	489.1283814
237	488.9417277
238	488.6652648
239	488.2035231
240	487.6798182
241	487.3751847
242	487.0969283
243	487.0466633
244	486.9221465
245	486.6083011
246	486.1805962
247	485.8163537
248	485.7959018
249	485.6875405
250	485.4998821
251	485.0425339
252	484.4923205
253	484.4600364
254	484.2611214
255	483.6656972
256	483.3102332
257	483.1216065
258	482.7934005
259	482.3716287
260	482.037872
261	481.6030955
262	481.4797628
263	481.2112805
264	480.9339049
265	480.372224
266	480.2385719
267	479.9414675
268	479.7304705
269	479.3939
270	478.930136
271	478.3962632
272	477.9231197
273	477.7870816
274	477.6480077
275	477.4292115
276	477.0136204
277	476.9344593
278	476.6592814
279	476.3812001
280	476.2038044
281	475.9610441
282	475.7510613
283	475.7208354
284	475.5197194
285	475.4449877
286	475.1198858
287	474.9004386
288	474.6111511
289	474.6011864
290	474.3174884
291	473.8919155
292	473.6804981
293	473.5448075
294	473.2875633
295	472.9803802
296	472.8368708
297	472.6714636
298	472.4610757
299	472.1122229
300	472.0300858
301	471.9731949
302	471.965364
303	471.8573998
304	471.2450817
305	470.7441972
306	470.4575254
307	470.3154095
308	469.9289698
309	469.7826074
310	469.6041816
311	469.5902925
312	469.2148676
313	468.9451437
314	468.6762942
315	468.3869514
316	468.3140329
317	468.0179006
318	467.510916
319	467.3809079
320	467.2474556
321	466.8214733
322	466.6589164
323	466.4388403
324	466.0976573
325	465.8316597
326	465.4730851
327	465.1634428
328	464.7881698
329	464.4890241
330	464.2595436
331	464.2157753
332	463.9570056
333	463.6765935
334	463.4891269
335	463.3383872
336	463.2373279
337	463.2306298
338	463.1511319
339	463.1349728
340	462.9412828
341	462.7958188
342	462.6236419
343	462.3614716
344	462.1074153
345	462.0261783
346	461.9739677
347	461.8518525
348	461.7369396
349	461.4780561
350	461.3920794
351	460.7740192
352	460.5932082
353	460.3707473
354	460.1180696
355	459.8617179
356	459.5681587
357	459.4311191
358	459.0194973
359	458.795479
360	458.6990937
361	458.307341
362	458.0945076
363	457.861079
364	457.4625162
365	457.1569063
366	456.9788528
367	456.6219231
368	456.3815246
369	456.0776178
370	455.7892538
371	455.6259182
372	455.2916976
373	455.002714
374	454.7101432
375	454.416388
376	454.340172
377	454.2117231
378	453.9072978
379	453.6923381
380	453.6118037
381	453.234465
382	452.8980077
383	452.6426037
384	452.6294986
385	452.6166173
386	452.2715541
387	452.1056688
388	451.8822958
389	451.6830594
390	451.5304483
391	451.5093242
392	451.2317774
393	451.0102765
394	450.7488671
395	450.5644034
396	450.1690365
397	449.8644069
398	449.515092
399	449.2484371
400	448.9256976
401	448.6570252
402	448.4422122
403	448.2960287
404	447.9933304
