iter	Passed	Remaining
0	27	16653
1	47	14066
2	61	12156
3	74	11162
4	88	10553
5	103	10204
6	116	9833
7	129	9556
8	142	9345
9	154	9144
10	167	8983
11	181	8872
12	195	8849
13	210	8825
14	225	8788
15	240	8764
16	254	8732
17	269	8724
18	285	8727
19	300	8717
20	315	8686
21	329	8645
22	344	8636
23	356	8565
24	369	8501
25	374	8266
26	387	8223
27	400	8182
28	413	8142
29	426	8098
30	438	8053
31	452	8024
32	465	7990
33	478	7971
34	492	7943
35	505	7917
36	518	7883
37	530	7850
38	543	7824
39	557	7799
40	570	7781
41	585	7781
42	600	7773
43	615	7771
44	629	7767
45	644	7760
46	660	7768
47	676	7781
48	693	7801
49	709	7806
50	725	7811
51	741	7816
52	755	7798
53	770	7789
54	784	7778
55	802	7800
56	824	7858
57	852	7970
58	883	8102
59	930	8375
60	953	8424
61	979	8495
62	1013	8637
63	1033	8656
64	1051	8653
65	1069	8655
66	1089	8667
67	1110	8687
68	1131	8709
69	1154	8744
70	1174	8753
71	1194	8757
72	1211	8745
73	1230	8746
74	1252	8764
75	1269	8753
76	1287	8744
77	1303	8723
78	1319	8701
79	1334	8675
80	1348	8642
81	1362	8609
82	1376	8575
83	1390	8543
84	1405	8513
85	1420	8487
86	1433	8452
87	1446	8415
88	1459	8377
89	1472	8343
90	1486	8312
91	1498	8273
92	1511	8239
93	1523	8202
94	1536	8166
95	1548	8131
96	1562	8100
97	1575	8067
98	1588	8038
99	1601	8006
100	1614	7974
101	1627	7944
102	1640	7915
103	1653	7884
104	1667	7861
105	1682	7842
106	1697	7822
107	1713	7804
108	1729	7790
109	1743	7767
110	1758	7745
111	1772	7721
112	1786	7699
113	1802	7685
114	1821	7682
115	1846	7703
116	1871	7725
117	1923	7857
118	1943	7855
119	1965	7863
120	1989	7877
121	2022	7924
122	2042	7922
123	2060	7909
124	2081	7908
125	2098	7895
126	2116	7884
127	2136	7878
128	2158	7880
129	2180	7882
130	2200	7879
131	2223	7881
132	2244	7879
133	2262	7866
134	2280	7853
135	2298	7841
136	2317	7833
137	2335	7819
138	2352	7801
139	2369	7783
140	2382	7755
141	2396	7728
142	2411	7705
143	2424	7678
144	2438	7651
145	2452	7625
146	2466	7599
147	2479	7571
148	2491	7542
149	2505	7516
150	2518	7487
151	2530	7458
152	2546	7439
153	2560	7414
154	2573	7387
155	2586	7361
156	2599	7335
157	2613	7311
158	2626	7284
159	2639	7258
160	2654	7237
161	2667	7211
162	2680	7185
163	2694	7162
164	2709	7144
165	2725	7125
166	2740	7105
167	2756	7086
168	2772	7070
169	2786	7049
170	2802	7030
171	2816	7008
172	2832	6990
173	2852	6983
174	2874	6979
175	2896	6976
176	2927	6995
177	2970	7042
178	2999	7055
179	3021	7049
180	3054	7070
181	3083	7082
182	3103	7070
183	3120	7055
184	3139	7042
185	3160	7034
186	3184	7034
187	3207	7029
188	3229	7023
189	3252	7017
190	3270	7003
191	3288	6988
192	3308	6977
193	3326	6962
194	3343	6945
195	3360	6926
196	3376	6907
197	3392	6887
198	3405	6862
199	3419	6839
200	3434	6816
201	3447	6793
202	3462	6772
203	3476	6748
204	3490	6726
205	3503	6701
206	3516	6675
207	3528	6650
208	3541	6625
209	3543	6580
210	3556	6556
211	3569	6533
212	3582	6509
213	3595	6486
214	3610	6464
215	3623	6441
216	3636	6417
217	3649	6394
218	3662	6371
219	3675	6348
220	3689	6326
221	3702	6303
222	3714	6280
223	3729	6260
224	3745	6242
225	3760	6222
226	3776	6206
227	3785	6176
228	3800	6156
229	3814	6136
230	3829	6116
231	3844	6098
232	3860	6081
233	3883	6074
234	3910	6074
235	3944	6083
236	3984	6102
237	4015	6106
238	4039	6101
239	4080	6120
240	4101	6110
241	4120	6094
242	4137	6078
243	4142	6043
244	4164	6034
245	4188	6027
246	4210	6016
