iter	Passed	Remaining
0	15	6070
1	31	6214
2	44	5839
3	58	5794
4	69	5461
5	81	5331
6	92	5198
7	103	5059
8	113	4915
9	121	4751
10	130	4621
11	139	4516
12	149	4445
13	157	4346
14	166	4265
15	174	4180
16	182	4106
17	185	3930
18	193	3871
19	201	3825
20	210	3793
21	218	3757
22	226	3716
23	234	3677
24	243	3646
25	251	3613
26	259	3579
27	266	3546
28	274	3513
29	283	3493
30	291	3467
31	299	3442
32	307	3421
33	315	3397
34	324	3382
35	332	3359
36	340	3336
37	348	3317
38	356	3300
39	364	3282
40	372	3263
41	380	3247
42	388	3228
43	397	3217
44	406	3207
45	415	3197
46	424	3189
47	434	3188
48	444	3183
49	453	3173
50	462	3168
51	472	3161
52	480	3147
53	489	3138
54	498	3124
55	508	3120
56	517	3113
57	525	3099
58	534	3087
59	542	3075
60	551	3064
61	560	3055
62	569	3044
63	580	3050
64	589	3037
65	598	3028
66	607	3018
67	615	3005
68	624	2994
69	632	2982
70	641	2973
71	650	2962
72	659	2951
73	667	2940
74	675	2928
75	685	2920
76	693	2908
77	701	2897
78	710	2886
79	718	2875
80	727	2865
81	736	2854
82	745	2846
83	753	2835
84	762	2826
85	771	2816
86	780	2808
87	790	2803
88	801	2802
89	818	2819
90	840	2852
91	861	2883
92	883	2916
93	901	2936
94	913	2932
95	927	2935
96	939	2933
97	964	2971
98	983	2991
99	999	2999
100	1013	2999
101	1024	2992
102	1036	2987
103	1047	2980
104	1056	2968
105	1067	2961
106	1079	2957
107	1092	2952
108	1103	2944
109	1113	2935
110	1124	2926
111	1133	2915
112	1144	2905
113	1159	2907
114	1172	2905
115	1183	2898
116	1193	2886
117	1203	2875
118	1213	2864
119	1222	2851
120	1233	2843
121	1244	2835
122	1255	2826
123	1265	2815
124	1273	2802
125	1282	2789
126	1291	2777
127	1301	2764
128	1309	2751
129	1319	2740
130	1328	2728
131	1337	2715
132	1346	2703
133	1356	2692
134	1364	2679
135	1372	2664
136	1381	2652
137	1390	2639
138	1398	2626
139	1407	2613
140	1415	2600
141	1423	2586
142	1431	2572
143	1439	2558
144	1446	2544
145	1454	2531
146	1462	2517
147	1471	2506
148	1481	2495
149	1489	2483
150	1499	2472
151	1507	2460
152	1518	2450
153	1525	2437
154	1534	2425
155	1544	2415
156	1552	2403
157	1561	2392
158	1570	2380
159	1580	2370
160	1588	2358
161	1597	2346
162	1606	2335
163	1615	2324
164	1624	2313
165	1632	2301
166	1641	2290
167	1650	2279
168	1660	2269
169	1670	2259
170	1680	2250
171	1691	2242
172	1702	2233
173	1713	2225
174	1723	2216
175	1734	2207
176	1744	2197
177	1754	2187
178	1765	2180
179	1775	2169
180	1785	2160
181	1795	2150
182	1805	2140
183	1814	2130
184	1824	2120
185	1834	2110
186	1844	2101
187	1855	2092
188	1864	2082
189	1874	2071
190	1883	2061
191	1893	2051
192	1903	2041
193	1912	2030
194	1921	2020
195	1930	2009
196	1941	2000
197	1950	1990
198	1959	1979
199	1969	1969
200	1979	1959
201	1988	1948
202	1997	1938
203	2006	1928
204	2016	1918
205	2026	1908
206	2034	1897
207	2043	1886
208	2053	1876
209	2063	1867
210	2075	1858
211	2088	1852
212	2101	1844
213	2113	1836
214	2127	1831
215	2154	1835
216	2174	1833
217	2192	1830
218	2206	1823
219	2222	1818
220	2238	1813
221	2273	1822
222	2286	1814
223	2299	1806
224	2311	1798
225	2322	1788
226	2335	1779
227	2349	1772
228	2362	1763
229	2374	1754
230	2385	1745
231	2396	1735
232	2409	1726
233	2420	1717
234	2434	1709
235	2446	1700
236	2455	1689
237	2466	1678
238	2477	1668
239	2487	1658
240	2499	1648
241	2510	1638
242	2516	1625
243	2526	1615
244	2536	1605
245	2546	1594
246	2554	1582
247	2563	1571
248	2573	1560
249	2583	1549
250	2592	1538
251	2601	1527
252	2610	1516
253	2618	1505
254	2627	1493
255	2635	1482
256	2637	1467
257	2647	1456
258	2655	1445
259	2663	1434
260	2671	1422
261	2679	1411
262	2687	1399
263	2692	1386
264	2700	1375
265	2707	1364
266	2716	1353
267	2725	1342
268	2741	1335
269	2755	1326
270	2770	1318
271	2779	1308
272	2792	1299
273	2800	1287
274	2808	1276
275	2816	1265
